Album,Artist,Genre 1,Genre 2,Genre 3,User Submitted
G.L.O.N.L.,Capo,Chicago Drill,Gangsta Rap,,hobo
The Suburbs,Arcade Fire,Indie Rock,Chamber Pop,,Moonlit Warrior Ortvgal
Slide,George Clanton,Chillwave,Dream Pop,,terriyaki
</ARI>,Carmen Caska,Industrial Hip Hop,Experimental Hip Hop,,big
The Gratitude Principle,The Cosmic Range,Jazz Fusion,Spiritual Jazz,,Theo
Twilight,Haruka Nakamura,J-Ambient,Jazz Fusion,,liv
Dead Magic,Anna von Hausswolff,Neoclassical Darkwave,,,z33p
Nervous Young Man,Car Seat Headrest,Slacker Rock,Singer-Songwriter,,gabriel
Still Here,Starlit,Drum & Bass,Ambient,,HondaS2000
Blowout Comb,Digable Planets,Jazz Rap,,,big
egg,egg,Canterbury Scene,Progressive Folk,,Moonlit Warrior Ortvgal
UGLY,slowthai,Post Punk,UK Hip Hop,,terry
"I'm Wide Awake, It's Morning",Bright Eyes,Indie Folk,Contemporary Folk,,zym
Sextant,Herbie Hancock,Avant-Garde Jazz,Jazz Fusion,,z33p
A Hackney Pursuit,Brutus VIII,Synth Punk,Art Pop,,liv
The Life of Pi'erre 4,Pi'erre Bourne,Trap,Pop Rap,,hobo
Buy Bleach,Damn Whore,Witch House,,,Ciel
Balens Cho (Hot Candles),Mach-Hommy,Conscious Hip Hop,Jazz Rap,,terriyaki
The Complete Guide To Insufficiency,David Thomas Broughton,Singer-Songwriter,Avant-Folk,,gabriel
The Inside Room,40 Watt Sun,Doom Metal,Slowcore,,Nate
Working On Dying,Bladee,Cloud Rap,Trap,,*ant
Enter The Chicken,Buckethead,Experimental Rock,Alternative Metal,,Bacchus
3 Feet High and Rising,De La Soul,East Coast Hip Hop,Boom Bap,,Swegify
Absolutely,Dijon,Alternative R&B,Neo-Soul,,Lele
Always In Motion,Mini Trees,Indie Pop,Dream Pop,,owen
kenopsia,quannnic,Glitchcore,Hyperpop,,Kaotic
Hypatia,Wray,Shoegaze,Indie Rock,,lego
Heavy Heavy,Young Fathers,Neo-Psychedelia,Experimental Hip Hop,,jwebb
Marquee Moon,Television,Art Punk,Post Punk,,glootte
